CommunityID,NodeID
0,569630
0,346382
1,110065
1,148519
2,275744
2,410119
2,302348
2,130189
2,452239
2,177591
2,129370
2,546779
2,466749
3,289314
3,206874
3,451931
3,397487
4,479806
4,236959
5,535148
5,532964
6,44120
6,188220
6,419086
7,339761
7,232019
8,400689
8,349227
9,552048
9,391722
10,284793
10,64865
10,125925
11,382581
11,100694
11,290424
11,379369
11,184479
12,438523
12,437670
13,133685
13,114661
13,520903
13,410282
13,307023
14,366076
14,12734
14,28671
15,492466
15,106606
16,104626
16,181971
16,37559
16,194990
16,185279
17,62080
17,486682
17,205147
17,118204
18,422808
18,516461
19,352063
19,541039
20,125300
20,9765
20,528239
21,192192
21,75598
21,13479
22,299877
22,152271
23,345592
23,425876
23,484599
24,2088
24,117725
25,521721
25,532714
26,129891
26,88964
26,100260
26,429387
26,393547
26,431086
26,407728
26,282800
26,180560
26,454512
26,522712
26,360699
26,272540
27,373904
27,58332
28,57581
28,308910
29,172168
29,517689
29,424699
30,261424
30,546517
31,251474
31,296661
31,296246
31,255709
31,337198
32,120828
32,389086
33,253314
33,556195
33,359902
34,296460
34,215812
34,99967
35,551952
35,308132
35,365844
35,136885
36,242245
36,80550
36,438535
37,349057
37,143988
38,360977
38,181412
38,50198
38,43521
39,416890
39,506701
40,482912
40,180329
40,357421
41,503297
41,432489
41,520908
41,448717
41,105036
41,73395
41,325207
41,328024
41,165275
41,101375
42,421210
42,535627
42,76270
43,332609
43,253961
44,258875
44,340635
44,287847
45,541797
45,558733
46,456416
46,95025
46,222053
46,384949
46,491193
47,58722
47,495868
48,12464
48,78537
48,556255
49,247554
49,332364
50,521401
50,180691
50,103332
51,326669
51,498822
52,254800
52,360419
52,467907
52,188171
52,191631
53,40361
53,171827
53,289716
53,424697
54,365116
54,376606
55,402629
55,5301
56,530713
56,569955
57,261519
57,545130
57,19301
57,310911
58,519794
58,446894
58,438166
59,282139
59,149811
59,236715
59,1061
60,184152
60,273
60,218158
60,17007
61,140388
61,530319
62,129203
62,519447
62,109109
62,377647
63,384387
63,565123
63,564775
64,260612
64,22279
65,156936
65,130908
65,188925
66,440545
66,262055
66,275133
66,275307
66,298717
67,107773
67,91229
67,117582
67,101783
68,401709
68,269078
68,538279
69,558896
69,23798
70,530832
70,445558
71,387226
71,542087
72,535208
72,416986
73,71496
73,263604
73,507911
73,287416
73,413499
74,58881
74,487746
74,142654
75,442073
75,43443
76,291234
76,518907
76,409428
76,83013
77,90656
77,421369
77,355413
77,429375
78,237988
78,159061
78,481228
78,315101
78,290749
79,128672
79,201281
80,19291
80,439470
81,7924
81,318774
81,55076
82,402073
82,260489
82,50035
82,45522
83,446352
83,172792
84,512561
84,231169
85,379272
85,567751
86,518517
86,186886
87,552913
87,460355
88,209918
88,521182
89,106784
89,11939
89,54052
89,224639
89,263880
89,218986
89,531852
89,152530
89,167193
89,23835
89,512255
90,485181
90,18703
91,378
91,536451
91,540012
91,205479
92,347360
92,445676
93,23000
93,527563
94,73729
94,79881
94,233483
94,2061
94,206861
94,401426
94,524308
94,8223
94,571429
94,475178
94,389181
94,155724
94,114766
94,256082
94,86102
94,444502
94,268378
94,190555
94,467036
94,462942
94,258144
94,301152
94,364644
94,524388
94,260197
94,114793
94,22634
94,409709
94,272497
94,469108
94,448633
94,405628
94,290943
94,137344
94,272511
94,241793
94,546950
94,63625
94,454799
94,245908
94,544916
94,567445
94,546965
94,51357
94,428190
94,450719
94,151715
94,71847
94,26792
94,538797
94,196782
94,405679
94,78000
94,354491
94,229568
94,211136
94,71877
94,2261
94,573659
94,544999
94,88295
94,514279
94,88298
94,334059
94,182508
94,84205
94,133365
94,174330
94,418043
94,71934
94,127230
94,106752
94,119041
94,196865
94,571650
94,375051
94,30990
94,55573
94,143639
94,119068
94,153887
94,200994
94,309540
94,399652
94,305447
94,127274
94,18744
94,463161
94,49468
94,147774
94,477503
94,309571
94,512330
94,55630
94,244049
94,319831
94,328028
94,221536
94,500068
94,534889
94,160107
94,276845
94,143731
94,557430
94,276866
94,573829
94,51591
94,522636
94,47511
94,362903
94,381337
94,123291
94,108957
94,217504
94,520608
94,477603
94,543142
94,364974
94,244148
94,461239
94,328125
94,170430
94,414143
94,545217
94,4548
94,403909
94,158150
94,489927
94,481740
94,145868
94,555474
94,324055
94,170456
94,293335
94,207334
94,283112
94,47593
94,393713
94,537074
94,145912
94,453113
94,141818
94,29178
94,373249
94,414214
94,270861
94,295440
94,219672
94,473624
94,551454
94,502306
94,334377
94,401962
94,422452
94,295482
94,47675
94,109116
94,139838
94,188991
94,283200
94,100929
94,295500
94,74325
94,211542
94,477784
94,113250
94,565862
94,328295
94,559721
94,557680
94,291442
94,496246
94,184953
94,533114
94,479870
94,8830
94,553606
94,74378
94,572043
94,295583
94,303775
94,443040
94,428707
94,510630
94,240296
94,275116
94,12976
94,484019
94,357047
94,238267
94,424636
94,281276
94,367307
94,379596
94,363217
94,291540
94,148183
94,262872
94,269019
94,451293
94,86752
94,303845
94,328425
94,148209
94,260851
94,131828
94,137977
94,350970
94,531196
94,170749
94,86784
94,133899
94,547598
94,25360
94,228119
94,191260
94,559910
94,465702
94,574248
94,348973
94,25399
94,138048
94,396097
94,344906
94,424779
94,461646
94,164687
94,66387
94,541525
94,332631
94,359256
94,306008
94,121689
94,418647
94,521052
94,199528
94,338792
94,484215
94,123767
94,174970
94,174975
94,25471
94,35714
94,181122
94,260994
94,514952
94,88972
94,189326
94,359313
94,107415
94,261017
94,484252
94,373667
94,72612
94,383910
94,447399
94,89000
94,480177
94,314294
94,168886
94,105400
94,89017
94,451517
94,461760
94,15303
94,564173
94,115665
94,289747
94,519125
94,299993
94,46046
94,553953
94,195553
94,166882
94,60394
94,68586
94,480237
94,539629
94,257011
94,439284
94,183287
94,551929
94,465917
94,283652
94,566276
94,412683
94,384012
94,95244
94,424972
94,500757
94,336919
94,54295
94,234522
94,480286
94,123954
94,539705
94,341049
94,39997
94,160835
94,435269
94,302149
94,539718
94,494664
94,509002
94,265291
94,433233
94,406619
94,201820
94,461916
94,158814
94,283747
94,144486
94,394345
94,244845
94,435311
94,416879
94,169079
94,558202
94,418943
94,91268
94,541835
94,306323
94,261274
94,335011
94,531619
94,140454
94,531630
94,87215
94,521394
94,283834
94,144570
94,494780
94,220348
94,25797
94,300234
94,19662
94,199891
94,330966
94,177368
94,19674
