Node,Average Neighbor Degree
191305,2.8
261775,4.0
165310,6.285714285714286
359025,6.0
529367,7.0
543502,6.857142857142857
569630,1.0
346382,1.0
36585,2.5
33668,2.5
331443,6.0
332237,2.4285714285714284
367203,1.5
471175,1.5
148519,1.0
110065,1.0
505747,5.625
528449,5.666666666666667
438706,11.0
280101,9.7
92287,1.3333333333333333
200039,4.0
193221,2.0
109785,2.3333333333333335
250917,2.0
70918,2.5
452239,1.5
130189,4.0
140396,3.0
334144,3.6666666666666665
467389,1.5
454993,2.0
349230,6.5
472054,2.2
359682,5.333333333333333
379220,3.5
191993,1.3333333333333333
168898,3.0
394047,3.0
433440,6.333333333333333
241467,2.75
556736,2.5
482469,2.3333333333333335
345582,3.0
289314,1.5
206874,2.0
191960,2.75
162359,5.0
299207,5.666666666666667
340084,3.25
499492,4.0
269941,3.25
40041,6.5
482196,3.3333333333333335
507705,3.75
43449,2.5
358567,7.125
86231,4.25
479806,1.0
236959,1.0
533617,3.6666666666666665
570940,5.5
244663,3.5
81997,2.5
42888,8.75
64264,5.0
532964,1.0
535148,1.0
183672,3.6666666666666665
390740,3.0
494524,5.5
129457,8.363636363636363
277123,4.0
260799,2.75
131644,8.2
517547,5.142857142857143
394870,4.0
20245,4.5
374129,2.3333333333333335
279842,1.6666666666666667
534432,3.3333333333333335
482953,5.2
223102,4.0
50270,4.2
75474,2.5
531260,1.6666666666666667
139138,9.0
417744,3.2222222222222223
571190,3.0
130703,4.666666666666667
156650,2.3333333333333335
300577,2.5
432926,6.333333333333333
394579,6.833333333333333
125420,2.5
219025,4.5
215391,5.222222222222222
457040,6.5
210614,6.636363636363637
569588,6.714285714285714
353590,3.0
16462,3.0
225504,1.75
348716,2.5
188220,1.0
44120,2.0
232019,1.0
339761,1.0
209031,5.0
542001,4.833333333333333
400689,1.0
349227,1.0
560316,4.0
202933,1.6666666666666667
120754,6.5
131239,6.0
391722,1.0
552048,1.0
321877,6.0
559197,2.0
318290,4.555555555555555
1774,6.333333333333333
355800,2.0
469803,4.5
284793,2.0
125925,1.0
290424,1.5
100694,2.0
366202,4.75
496535,3.5
365374,6.0
128511,4.714285714285714
76794,6.0
440486,2.142857142857143
404454,4.555555555555555
75854,3.2
324153,4.538461538461538
108387,6.25
162636,3.5
87402,2.0
334662,1.5
171731,2.0
167163,3.5
337900,2.6666666666666665
437670,1.0
438523,1.0
573351,5.5
11448,2.2
268774,8.0
513496,5.25
133685,2.0
410282,2.0
49548,4.5
126243,4.666666666666667
28671,1.0
366076,2.0
279436,6.0
49365,6.833333333333333
379557,2.0
496380,2.0
492466,1.0
106606,1.0
436996,9.153846153846153
275036,5.4
174532,5.5
210532,3.6666666666666665
128895,2.3333333333333335
465204,6.0
474720,3.0
496019,1.3333333333333333
236913,2.0
228257,2.5
273800,6.0
95088,2.3333333333333335
185279,2.0
104626,1.5
357800,4.0
463328,4.0
205147,1.0
118204,3.0
422808,1.0
516461,1.0
310422,2.5
519653,2.5
255710,4.6
435824,7.666666666666667
352063,1.0
541039,1.0
37817,3.3333333333333335
339308,5.666666666666667
6793,3.25
525362,6.666666666666667
159378,2.3333333333333335
471786,2.5
480196,3.0
480241,2.3333333333333335
408589,3.8
445096,4.0
132874,1.5
470633,2.0
9765,2.0
125300,1.0
75598,2.0
13479,1.0
299877,1.0
152271,1.0
425876,2.0
345592,1.0
117725,1.0
2088,1.0
374374,5.2
316006,4.5
165252,4.0
251124,8.0
57410,10.166666666666666
224136,9.8
521721,1.0
532714,1.0
88964,2.3333333333333335
129891,3.0
536811,3.8
436627,10.375
373904,1.0
58332,1.0
308910,1.0
57581,1.0
339862,4.4
363005,4.5
424699,1.0
517689,2.0
280020,3.2857142857142856
164754,4.25
426844,4.0
422823,3.25
466991,2.0
512429,1.5
283528,4.0
419475,5.0
546517,1.0
261424,1.0
384059,6.0
345047,2.4
318603,4.5
107357,3.5714285714285716
378547,3.0
499830,3.0
284409,3.5
27669,4.5
258421,2.0
54695,2.5
220784,4.75
259891,2.857142857142857
114457,5.0
214448,3.6
520835,2.5
89893,2.0
209692,3.0
506907,2.2
383772,6.3
452337,4.833333333333333
300160,2.0
414717,2.0
255709,1.0
337198,4.0
575854,9.8
203898,10.0
458317,8.0
185863,3.875
246037,2.5
273665,2.0
454804,10.6875
152248,12.4
207850,6.0
198982,1.8333333333333333
26227,1.5
376392,2.0
137329,1.3333333333333333
334448,5.5
539124,5.0
318407,3.5
274754,10.333333333333334
69165,9.833333333333334
295510,9.083333333333334
517877,12.0
525913,12.11111111111111
345350,14.0
468162,1.3333333333333333
126013,3.5
435440,8.0
482165,7.555555555555555
456918,2.0
362829,4.0
166230,3.0
564155,1.6666666666666667
446941,3.25
137612,3.3333333333333335
111401,4.0
247756,4.0
43162,6.666666666666667
542729,4.0
407371,1.3333333333333333
138641,3.0
489248,2.0
160118,3.0
430941,3.0
129018,3.0
389086,1.0
120828,1.0
556195,2.0
359902,1.0
423373,3.6666666666666665
284149,2.5
16214,1.3333333333333333
175658,6.5
564823,4.428571428571429
492387,9.5
566818,3.7142857142857144
191275,4.25
262320,9.1
430985,10.066666666666666
234507,2.0
363852,2.5
99967,2.0
296460,1.0
319998,2.5
529962,2.5
93793,3.5
48295,2.5
551952,2.0
308132,1.5
200105,2.3333333333333335
121687,3.0
206399,8.333333333333334
200718,10.875
114931,6.444444444444445
401994,6.166666666666667
242245,2.0
80550,1.0
145371,3.5
105201,3.3333333333333335
394815,4.0
565109,1.75
228435,5.0
477030,6.5
548286,7.0
301078,6.857142857142857
228815,2.0
244658,2.0
133436,3.0
379891,2.0
338100,4.833333333333333
48031,5.0
25777,5.5
468492,5.666666666666667
82375,3.0
461279,2.5
502828,4.8
499247,4.222222222222222
552201,6.833333333333333
82859,3.8
343798,3.6666666666666665
241092,5.285714285714286
68373,4.6
298065,2.8333333333333335
349057,1.0
143988,1.0
284698,5.333333333333333
38888,2.75
483780,9.125
444802,6.222222222222222
521705,6.5
457333,4.142857142857143
360977,1.0
50198,3.0
416890,1.0
506701,1.0
2317,2.0
493422,2.5
482912,2.0
357421,1.0
134177,2.5
241156,4.0
242101,17.0
152070,3.411764705882353
509866,4.25
328135,4.0
556149,6.0
525812,1.3333333333333333
356346,2.5
217877,2.0
112741,3.5
454594,2.0
333425,3.6666666666666665
458466,2.0
520908,2.5
165275,2.0
347115,7.363636363636363
206205,7.0
555085,3.3333333333333335
232483,3.75
260621,4.0
455872,4.666666666666667
252153,5.0
439432,1.6
59890,2.0
471793,2.0
307773,5.666666666666667
155243,8.5
396799,7.0
406410,4.285714285714286
510253,7.666666666666667
331980,7.5
564507,9.0
267059,6.375
441011,5.0
112242,3.0
189082,3.25
387471,6.0
535627,1.0
421210,2.0
104822,11.588235294117647
341270,11.454545454545455
276982,3.6666666666666665
313004,4.0
152069,4.75
438477,3.25
297509,5.5
235957,6.285714285714286
147722,6.2
172012,6.166666666666667
253961,1.0
332609,1.0
385366,2.0
472697,4.0
272051,2.5
439465,2.6666666666666665
258875,1.0
287847,2.0
558733,1.0
541797,1.0
319831,2.8
545217,5.0
75344,6.142857142857143
453216,6.0
491193,2.0
384949,1.3333333333333333
41649,2.0
362423,3.5
87281,2.0
246045,2.0
249679,3.0
462680,3.6666666666666665
478160,2.5
258663,2.5
498531,2.0
546400,2.0
520190,1.5
537896,2.0
243526,11.0
197188,7.933333333333334
58722,1.0
495868,1.0
98752,5.0
530984,3.5
432792,3.0
169725,3.0
1377,3.75
311111,2.6666666666666665
78537,1.0
556255,2.0
341441,6.666666666666667
275072,5.5
332364,1.0
247554,1.0
213420,5.0
357590,3.4
11176,8.5
402557,9.416666666666666
167241,3.0
81434,6.0
6735,1.5
18383,2.5
40374,3.8
488814,4.4
470691,4.0
184206,2.75
338413,1.6666666666666667
83993,2.5
434855,6.0
547622,4.666666666666667
371869,5.333333333333333
304517,5.0
203615,1.5
391690,2.0
275639,2.0
47364,2.5
415589,13.0
168845,9.5625
521401,1.0
180691,2.0
97474,2.0
390659,1.5
371548,1.5
51568,2.5
169765,2.0
374967,2.0
318360,2.0
326526,2.0
280926,3.6666666666666665
490677,3.5
540252,6.636363636363637
278419,7.0
240262,1.5
393076,1.5
511718,3.5
333778,2.0
498822,1.0
326669,1.0
143386,3.142857142857143
87047,4.5
70102,4.75
355139,4.714285714285714
519263,4.75
553142,5.5
360419,1.3333333333333333
467907,2.0
110136,3.5
165244,4.25
289716,3.0
171827,1.0
212878,10.545454545454545
91597,7.0
365116,1.0
376606,1.0
212864,4.4
366707,5.0
